candidate_id,rank,score,reasoning
CAND_0018499,1,0.8478,Senior Machine Learning Engineer with 7.2yr exp; 10 AI core skills; response rate 0.61; strong overall fit.
CAND_0039754,2,0.8458,Senior Applied Scientist with 16.2yr exp; 10 AI core skills; response rate 0.81; strong overall fit.
CAND_0088025,3,0.8445,Staff Machine Learning Engineer with 8.6yr exp; 12 AI core skills; response rate 0.83; strong overall fit.
CAND_0055905,4,0.843,Senior Machine Learning Engineer with 8.1yr exp; 9 AI core skills; response rate 0.87; strong overall fit.
CAND_0077337,5,0.8421,Staff Machine Learning Engineer with 7.0yr exp; 12 AI core skills; response rate 0.95; strong overall fit.
CAND_0006567,6,0.8371,Senior AI Engineer with 7.9yr exp; 7 AI core skills; response rate 0.79; strong overall fit.
CAND_0071974,7,0.8364,Senior AI Engineer with 7.8yr exp; 12 AI core skills; response rate 0.76; strong overall fit.
CAND_0011687,8,0.834,Senior NLP Engineer with 7.8yr exp; 10 AI core skills; response rate 0.89; strong overall fit.
CAND_0093193,9,0.8231,Senior Machine Learning Engineer with 7.9yr exp; 8 AI core skills; response rate 0.61; strong overall fit.
CAND_0061257,10,0.8213,Staff Machine Learning Engineer with 8.0yr exp; 5 AI core skills; response rate 0.87; strong overall fit.
CAND_0046064,11,0.8212,Senior NLP Engineer with 8.9yr exp; 7 AI core skills; response rate 0.78; strong overall fit.
CAND_0080766,12,0.816,Staff Machine Learning Engineer with 8.8yr exp; 11 AI core skills; response rate 0.66; strong overall fit.
CAND_0091534,13,0.8139,AI Engineer with 16.6yr exp; 5 AI core skills; response rate 0.84; strong overall fit.
CAND_0055992,14,0.8133,AI Engineer with 16.9yr exp; 8 AI core skills; response rate 0.72; strong overall fit.
CAND_0064326,15,0.812,Search Engineer with 7.6yr exp; 7 AI core skills; response rate 0.94; strong overall fit.
CAND_0037980,16,0.8114,Senior Applied Scientist with 9.0yr exp; 9 AI core skills; response rate 0.63; strong overall fit.
CAND_0095619,17,0.8069,NLP Engineer with 15.6yr exp; 9 AI core skills; response rate 0.9; strong overall fit.
CAND_0098846,18,0.8069,AI Engineer with 7.6yr exp; 7 AI core skills; response rate 0.62; strong overall fit.
CAND_0096104,19,0.8055,AI Specialist with 7.0yr exp; 6 AI core skills; response rate 0.33; but low response rate (0.33).
CAND_0002025,20,0.8018,Senior AI Engineer with 5.9yr exp; 11 AI core skills; response rate 0.8; strong overall fit.
CAND_0008425,21,0.7959,Senior NLP Engineer with 7.8yr exp; 10 AI core skills; response rate 0.66; strong overall fit.
CAND_0039383,22,0.7943,Applied ML Engineer with 7.1yr exp; 9 AI core skills; response rate 0.61; strong overall fit.
CAND_0068811,23,0.7913,Applied ML Engineer with 8.0yr exp; 9 AI core skills; response rate 0.42; strong overall fit.
CAND_0041669,24,0.7909,Recommendation Systems Engineer with 8.0yr exp; 9 AI core skills; response rate 0.77; strong overall fit.
CAND_0017960,25,0.7906,Recommendation Systems Engineer with 7.7yr exp; 5 AI core skills; response rate 0.72; strong overall fit.
CAND_0011432,26,0.7888,Senior Data Scientist with 7.6yr exp; 6 AI core skills; response rate 0.67; strong overall fit.
CAND_0013536,27,0.7854,Applied ML Engineer with 14.1yr exp; 11 AI core skills; response rate 0.87; strong overall fit.
CAND_0005649,28,0.7843,Senior Data Scientist with 7.4yr exp; 8 AI core skills; response rate 0.57; strong overall fit.
CAND_0081846,29,0.7842,Lead AI Engineer with 6.7yr exp; 10 AI core skills; response rate 0.73; strong overall fit.
CAND_0005538,30,0.7808,Senior AI Engineer with 5.9yr exp; 6 AI core skills; response rate 0.81; strong overall fit.
CAND_0098454,31,0.7779,AI Specialist with 6.6yr exp; 7 AI core skills; response rate 0.87; strong overall fit.
CAND_0005260,32,0.7716,Senior NLP Engineer with 5.2yr exp; 9 AI core skills; response rate 0.86; strong overall fit.
CAND_0053527,33,0.7709,Junior ML Engineer with 7.0yr exp; 4 AI core skills; response rate 0.81; strong overall fit.
CAND_0083879,34,0.7693,Machine Learning Engineer with 7.1yr exp; 5 AI core skills; response rate 0.47; strong overall fit.
CAND_0065878,35,0.7691,Senior Data Scientist with 7.8yr exp; 7 AI core skills; response rate 0.48; strong overall fit.
CAND_0087630,36,0.7665,AI Engineer with 7.2yr exp; 9 AI core skills; response rate 0.45; strong overall fit.
